epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1194.64,0.86408,4.56548,0.01633,0.5988,0.55128,0.62084,0.3917,1.02534,5.749,0.01212,0.000662942,0.000662942,0.000662942
2,2499.31,0.9914,2.70579,0.01835,0.5499,0.67949,0.59237,0.34974,1.07433,3.38417,0.01368,0.00130328,0.00130328,0.00130328
3,3703.8,1.08789,1.85862,0.0211,0.59386,0.62821,0.60953,0.37649,1.25071,2.39297,0.01655,0.00191722,0.00191722,0.00191722
4,4803.23,1.05044,1.43818,0.02064,0.63935,0.70456,0.68037,0.44674,1.03542,1.94511,0.01252,0.0018812,0.0018812,0.0018812
5,12923.7,1.06036,1.23809,0.02078,0.67259,0.65385,0.70777,0.45501,1.0995,1.49773,0.0132,0.0018416,0.0018416,0.0018416
6,14430.4,1.02985,1.1512,0.01958,0.75706,0.65385,0.78393,0.48152,1.13742,1.4131,0.01418,0.001802,0.001802,0.001802
7,15314.7,1.04058,1.08602,0.01993,0.76868,0.74359,0.80518,0.48479,1.21113,1.17349,0.01496,0.0017624,0.0017624,0.0017624
8,16120,1.00506,0.98959,0.01827,0.74993,0.73077,0.81651,0.4918,1.28565,1.14415,0.01713,0.0017228,0.0017228,0.0017228
9,16944.4,0.98655,0.9482,0.01849,0.83495,0.78205,0.83152,0.55545,1.07311,1.1286,0.01314,0.0016832,0.0016832,0.0016832
10,17864,0.97674,0.89527,0.01831,0.9052,0.79487,0.91364,0.57275,1.01473,0.97458,0.01271,0.0016436,0.0016436,0.0016436
11,18829.9,0.96683,0.88133,0.01803,0.81878,0.75641,0.85725,0.59883,1.01607,1.0051,0.01261,0.001604,0.001604,0.001604
12,20376.6,0.95607,0.84865,0.01799,0.8342,0.70957,0.82433,0.55123,1.04642,1.09892,0.01273,0.0015644,0.0015644,0.0015644
13,21743.4,0.96861,0.82501,0.01826,0.89348,0.82051,0.90266,0.59092,1.00142,0.88314,0.01115,0.0015248,0.0015248,0.0015248
14,22702.7,0.93401,0.82528,0.01731,0.85853,0.77806,0.82839,0.58365,0.97406,0.99039,0.01156,0.0014852,0.0014852,0.0014852
15,23553.6,0.87811,0.80764,0.01622,0.93085,0.82051,0.90111,0.58628,1.00578,0.96583,0.01164,0.0014456,0.0014456,0.0014456
16,24352,0.87436,0.77086,0.01566,0.83959,0.87179,0.93014,0.63801,0.97858,0.78493,0.01174,0.001406,0.001406,0.001406
17,25148.8,0.87932,0.75027,0.01595,0.77573,0.9359,0.89744,0.57717,1.06509,0.9751,0.01308,0.0013664,0.0013664,0.0013664
18,25953.9,0.86908,0.7029,0.0153,0.86071,0.83333,0.90832,0.62262,0.96935,0.7964,0.01124,0.0013268,0.0013268,0.0013268
19,26749.5,0.82262,0.69206,0.015,0.87083,0.86437,0.87846,0.59386,0.99635,0.67118,0.01197,0.0012872,0.0012872,0.0012872
20,27550.3,0.86393,0.7103,0.01557,0.85938,0.78205,0.87225,0.65206,1.00278,0.6677,0.01219,0.0012476,0.0012476,0.0012476
21,28348.9,0.83157,0.67167,0.01439,0.87243,0.88462,0.91612,0.6359,0.88723,0.77736,0.01062,0.001208,0.001208,0.001208
22,29161.6,0.82193,0.63866,0.01473,0.84454,0.83581,0.91049,0.64369,0.9617,0.73624,0.01203,0.0011684,0.0011684,0.0011684
23,29974.9,0.82473,0.68587,0.01483,0.86688,0.83488,0.92519,0.6561,0.90837,0.592,0.00999,0.0011288,0.0011288,0.0011288
24,30773.1,0.8006,0.61426,0.01458,0.90754,0.88096,0.92475,0.65707,0.85648,0.69534,0.00942,0.0010892,0.0010892,0.0010892
